Player,Position,Height,Weight,NationalRank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Bryce Underwood,QB,6-3.5,205,1,1,1,Belleville,Belleville,MI,Michigan
Keelon Russell,QB,6-3,175,2,2,1,Duncanville,Duncanville,TX,Alabama
Elijah Griffin,DL,6-5,300,3,1,1,Savannah Christian Prep,Savannah,GA,Georgia
Dakorien Moore,WR,5-11,182,4,1,2,Duncanville,Duncanville,TX,Oregon
Michael Fasusi,OT,6-5,295,5,1,3,Lewisville,Lewisville,TX,Oklahoma
David Sanders Jr.,OT,6-6,290,6,2,1,Providence Day School,Charlotte,NC,Tennessee
Tavien St. Clair,QB,6-4,225,7,3,1,Bellefontaine,Bellefontaine,OH,Ohio State
Devin Sanchez,CB,6-2,180,8,1,4,North Shore,Houston,TX,Ohio State
Isaiah Gibson,EDGE,6-3.5,270,9,1,2,Warner Robins,Warner Robins,GA,Georgia
Jonah Williams,S,6-3,203,10,1,5,Galveston Ball,Galveston,TX,Texas
DJ Pickett,CB,6-4,178,11,2,1,Zephyrhills,Tampa,FL,LSU
Justus Terry,DL,6-5,290,12,2,3,Manchester,Manchester,GA,Texas
Na'eem Offord,CB,6-1,185,13,3,1,Parker,Birmingham,AL,Oregon
Dijon Lee Jr.,CB,6-4,190,14,4,1,Mission Viejo,Mission Viejo,CA,Alabama
Harlem Berry,RB,5-11,175,15,1,1,St. Martin's Episcopal School,Metairie,LA,LSU
Andrew Babalola,OT,6-6,290,16,3,1,Blue Valley Northwest,Overland Park,KS,Michigan
Michael Carroll,IOL,6-6,315,17,1,2,IMG Academy,Bradenton,FL,Alabama
Kaliq Lockett,WR,6-2,175,18,2,6,Sachse,Sachse,TX,Texas
Jerome Myles,WR,6-3,215,19,3,1,Corner Canyon,Draper,UT,Texas A&M
Talyn Taylor,WR,6-1,173,20,4,1,Geneva,Geneva,IL,Georgia
Lance Jackson,EDGE,6-5,260,21,2,7,Texarkana Pleasant Grove,Texarkana,TX,Texas
Amare Adams,DL,6-4,315,22,3,1,South Florence,Jefferson,SC,Clemson
Quincy Porter,WR,6-3,200,23,5,1,Bergen Catholic,Oradell,NJ,Ohio State
Zayden Walker,LB,6-1.5,225,24,1,4,Schley County,Ellaville,GA,Georgia
Husan Longstreet,QB,6-1.5,195,25,4,2,Corona Centennial,Corona,CA,USC
Will Black,OT,6-7,295,26,4,1,Choate Rosemary Hall,Wallingford,CT,Notre Dame
Kade Phillips,CB,6-0.5,185,27,5,8,Fort Bend Hightower,Missouri City,TX,Texas
Deuce Knight,QB,6-4.5,206,28,5,1,George County,Lucedale,MS,Auburn
Elyiss Williams,TE,6-7,235,29,1,5,Camden County,Kingsland,GA,Georgia
Vernell Brown III,WR,5-11,170,30,6,3,Jones,Orlando,FL,Florida
Trey McNutt,S,6-0,180,31,2,2,Shaker Heights,Cleveland,OH,Oregon
Caleb Cunningham,WR,6-1,190,32,7,2,Choctaw County,Ackerman,MS,Ole Miss
Isaiah Campbell,DL,6-4,280,33,4,2,Southern,Durham,NC,Tennessee
Jahkeem Stewart,DL,6-6,270,34,5,2,Edna Karr,New Orleans,LA,USC
Dallas Wilson,WR,6-3,195,35,8,4,Tampa Bay Tech,Tampa,FL,Florida
Iose Epenesa,DL,6-4,270,36,6,2,Edwardsville,Edwardsville,IL,Iowa
Linkon Cure,TE,6-5,223,37,2,2,Goodland,Goodland,KS,Kansas State
Lamont Rogers,OT,6-6,325,38,5,9,Mesquite Horn,Mesquite,TX,Texas A&M
Ty Haywood,OT,6-5,285,39,6,10,Denton Ryan,Denton,TX,Michigan
Brandon Finney Jr.,CB,6-2,185,40,6,1,McDonogh School,Owings Mills,MD,Oregon
Solomon Thomas,IOL,6-4,315,41,2,5,Raines,Jacksonville,FL,LSU
Riley Pettijohn,LB,6-1.5,215,42,2,11,McKinney,McKinney,TX,Ohio State
Nate Marshall,EDGE,6-4,265,43,3,3,Fenwick,Oak Park,IL,Michigan
Jaime Ffrench Jr.,WR,6-1,185,44,9,6,Mandarin,Jacksonville,FL,Texas
Jackson Lloyd,OT,6-7,290,45,7,3,Carmel,Carmel,CA,Alabama
Javion Hilson,EDGE,6-3.5,235,46,4,7,Cocoa,Cocoa,FL,Missouri
Jared Smith,EDGE,6-6.5,235,47,5,2,Thompson,Alabaster,AL,Auburn
Malik Autry,DL,6-5.5,330,48,7,3,Opelika,Opelika,AL,Auburn
Tae Harris,S,5-10,200,49,3,6,Cedartown,Cedartown,GA,Georgia Tech
Julian Lewis,QB,6-0.5,185,50,6,7,Carrollton,Carrollton,GA,Colorado
Chuck McDonald III,CB,6-0.5,190,51,7,4,Mater Dei,Santa Ana,CA,Alabama
Juan Gaston,OT,6-7,365,52,8,8,Westlake,Atlanta,GA,Georgia
AK Dear,RB,6-1,200,53,2,3,Quitman,Quitman,MS,Alabama
Drake Stubbs,S,6-1,190,54,4,8,Mandarin,Jacksonville,FL,Florida
Faheem Delane,S,6-2.5,195,55,5,2,Our Lady of Good Counsel,Olney,MD,Ohio State
