School,School_City,School_State,Conference,Division,School_Latitude,School_Longitude
Air Force,USAF Academy,CO,Mountain West,FBS,38.978759,-104.8643892
Akron,Akron,OH,MAC,FBS,41.0798,-81.5219
Alabama,Tuscaloosa,AL,SEC,FBS,33.2348,-87.5268
Appalachian State,Boone,NC,Sun Belt,FBS,36.2111,-81.6669
Arizona,Tucson,AZ,Big 12,FBS,32.1541,-110.8787
Arizona State,Tempe,AZ,Big 12,FBS,33.3881,-111.9319
Arkansas,Fayetteville,AR,SEC,FBS,36.0714,-94.1661
Arkansas State,Jonesboro,AR,Sun Belt,FBS,35.8212,-90.6791
Army,West Point,NY,American,FBS,41.3645,-74.0123
Auburn,Auburn,AL,SEC,FBS,32.6087,-85.4903
Ball State,Muncie,IN,MAC,FBS,40.1989,-85.395
Baylor,Waco,TX,Big 12,FBS,31.5599,-97.1882
Boise State,Boise,ID,Mountain West,FBS,43.6005,-116.2308
Boston College,Chestnut Hill,MA,ACC,FBS,42.3234553,-71.1639439
Bowling Green,Bowling Green,OH,MAC,FBS,41.3776,-83.6495
Buffalo,Buffalo,NY,MAC,FBS,42.9018,-78.8487
BYU,Provo,UT,Big 12,FBS,40.2457,-111.6457
California,Berkeley,CA,ACC,FBS,37.8722,-122.276
Central Michigan,Mount Pleasant,MI,MAC,FBS,43.5966,-84.7759
Charlotte,Charlotte,NC,American,FBS,35.2083,-80.8303
Cincinnati,Cincinnati,OH,Big 12,FBS,39.1413,-84.506
Clemson,Clemson,SC,ACC,FBS,34.6837,-82.8124
Coastal Carolina,Conway,SC,Sun Belt,FBS,33.8401,-79.0431
Colorado,Boulder,CO,Big 12,FBS,40.0248,-105.2524
Colorado State,Fort Collins,CO,Mountain West,FBS,40.5477,-105.0656
Delaware,Newark,DE,CUSA,FBS,39.6776,-75.7576
Duke,Durham,NC,ACC,FBS,35.9792,-78.9022
East Carolina,Greenville,NC,American,FBS,35.5943,-77.376
Eastern Michigan,Ypsilanti,MI,MAC,FBS,42.244,-83.6208
Florida Atlantic,Boca Raton,FL,American,FBS,26.3752,-80.108
FIU,Miami,FL,CUSA,FBS,25.784,-80.2101
Florida,Gainesville,FL,SEC,FBS,29.6804,-82.3459
Florida State,Tallahassee,FL,ACC,FBS,30.4551,-84.2527
Fresno State,Fresno,CA,Mountain West,FBS,36.783,-119.7939
Georgia,Athens,GA,SEC,FBS,33.9508,-83.3689
Georgia Southern,Statesboro,GA,Sun Belt,FBS,32.4375,-81.7751
Georgia State,Atlanta,GA,Sun Belt,FBS,33.7628,-84.422
Georgia Tech,Atlanta,GA,ACC,FBS,33.7628,-84.422
Hawaiʻi,Honolulu,HI,Mountain West,FBS,21.3294,-157.846
Houston,Houston,TX,Big 12,FBS,29.786,-95.3885
Illinois,Urbana-Champaign,IL,Big Ten,FBS,40.1108492,-88.1619741
Indiana,Bloomington,IN,Big Ten,FBS,39.1637,-86.5257
Iowa,Iowa City,IA,Big Ten,FBS,41.6559,-91.5303
Iowa State,Ames,IA,Big 12,FBS,42.0256,-93.6217
Jacksonville State,Jacksonville,AL,CUSA,FBS,33.8088,-85.7545
James Madison,Harrisonburg,VA,Sun Belt,FBS,38.4362,-78.8735
Kansas,Lawrence,KS,Big 12,FBS,38.9597,-95.2642
Kansas State,Manhattan,KS,Big 12,FBS,39.1886,-96.6048
Kennesaw State,Kennesaw,GA,CUSA,FBS,34.026,-84.6177
Kent State,Kent,OH,MAC,FBS,41.149,-81.361
Kentucky,Lexington,KY,SEC,FBS,38.0423,-84.4587
Liberty,Lynchburg,VA,CUSA,FBS,37.4003,-79.1909
Louisiana,Lafayette,LA,Sun Belt,FBS,30.2082,-92.0325
Louisiana Tech,Ruston,LA,CUSA,FBS,32.5328,-92.6363
Louisville,Louisville,KY,ACC,FBS,38.1663,-85.6485
LSU,Baton Rouge,LA,SEC,FBS,30.442,-91.1311
Marshall,Huntington,WV,Sun Belt,FBS,38.4109,-82.4345
Maryland,College Park,MD,Big Ten,FBS,38.996,-76.9337
Memphis,Memphis,TN,American,FBS,35.1087,-89.9663
Miami,Coral Gables,FL,ACC,FBS,25.7037,-80.2715
Miami (OH),Oxford,OH,MAC,FBS,39.5061,-84.7446
Michigan,Ann Arbor,MI,Big Ten,FBS,42.2759,-83.731
Michigan State,East Lansing,MI,Big Ten,FBS,42.748,-84.4836
Middle Tennessee,Murfreesboro,TN,CUSA,FBS,35.849,-86.4121
Minnesota,Minneapolis,MN,Big Ten,FBS,44.9635,-93.2678
Mississippi State,Starkville,MS,SEC,FBS,33.4608,-88.8297
Missouri,Columbia,MO,SEC,FBS,38.9472,-92.3268
Missouri State,Springfield,MO,CUSA,FBS,37.1943,-93.2916
Navy,Annapolis,MD,American,FBS,38.9706,-76.5047
NC State,Raleigh,NC,ACC,FBS,35.8324,-78.6429
Nebraska,Lincoln,NE,Big Ten,FBS,40.8099,-96.6784
Nevada,Reno,NV,Mountain West,FBS,39.5497,-119.8483
New Mexico,Albuquerque,NM,Mountain West,FBS,35.1054,-106.6465
New Mexico State,Las Cruces,NM,CUSA,FBS,32.3265,-106.7893
North Carolina,Chapel Hill,NC,ACC,FBS,35.9271,-79.0391
North Dakota State,Fargo,ND,Mountain West,FBS,46.8651,-96.8292
North Texas,Denton,TX,American,FBS,33.2175,-97.1418
Northern Illinois,DeKalb,IL,MAC,FBS,41.9314,-88.7481
Northwestern,Evanston,IL,Big Ten,FBS,42.0464,-87.6943
Notre Dame,South Bend,IN,Independent,FBS,41.6767,-86.2696
Ohio,Athens,OH,MAC,FBS,39.327,-82.0987
Ohio State,Columbus,OH,Big Ten,FBS,39.9862,-82.9855
Oklahoma,Norman,OK,SEC,FBS,35.2335,-97.3471
Oklahoma State,Stillwater,OK,Big 12,FBS,36.1317,-97.0742
Old Dominion,Norfolk,VA,Sun Belt,FBS,36.8945,-76.259
Ole Miss,Oxford,MS,SEC,FBS,34.3627,-89.5336
Oregon,Eugene,OR,Big Ten,FBS,44.0564,-123.1174
Oregon State,Corvallis,OR,Pac-12,FBS,44.5698,-123.2779
Penn State,University Park,PA,Big Ten,FBS,40.8128971,-77.8710571
Pittsburgh,Pittsburgh,PA,ACC,FBS,40.4397,-79.9763
Purdue,West Lafayette,IN,Big Ten,FBS,40.4432,-86.9238
Rice,Houston,TX,American,FBS,29.786,-95.3885
Rutgers,Piscataway,NJ,Big Ten,FBS,40.5464326,-74.4660542
Sacramento State,Sacramento,CA,MAC,FBS,38.5677,-121.4685
Sam Houston,Huntsville,TX,CUSA,FBS,30.7009,-95.5567
San Diego State,San Diego,CA,Mountain West,FBS,32.8313,-117.1222
San Jose State,San Jose,CA,Mountain West,FBS,37.3012,-121.848
SMU,University Park,TX,ACC,FBS,32.8506,-96.7937
South Alabama,Mobile,AL,Sun Belt,FBS,30.6782,-88.1162
South Carolina,Columbia,SC,SEC,FBS,34.0378,-80.9036
South Florida,Tampa,FL,American,FBS,27.9945,-82.4447
Southern Miss,Hattiesburg,MS,Sun Belt,FBS,31.3074,-89.317
Stanford,Stanford,CA,ACC,FBS,37.4252,-122.1674
Syracuse,Syracuse,NY,ACC,FBS,43.0407,-76.1437
TCU,Fort Worth,TX,Big 12,FBS,32.7817,-97.3474
Temple,Philadelphia,PA,American,FBS,40.0077,-75.1339
Tennessee,Knoxville,TN,SEC,FBS,35.9692,-83.9496
